pickup_datetime,pickup_zone_id,dropoff_zone_id,trip_distance,trip_duration_min,fare_amount
2023-01-01 07:10:00,101,205,2.1,11,13.20
2023-01-01 08:45:00,102,201,4.8,21,22.10
2023-01-02 09:20:00,103,208,1.6,8,9.30
2023-01-03 10:00:00,104,209,8.2,32,34.50
2023-01-04 11:40:00,105,207,3.0,14,15.80
2023-01-05 13:05:00,106,204,5.9,27,28.90
2023-01-06 14:15:00,101,205,0.0,10,7.20
2023-01-07 16:20:00,102,206,6.4,0,30.10
2023-01-08 17:55:00,103,201,2.7,13,14.00
2023-01-15 08:30:00,101,203,3.3,16,18.40
2023-01-15 18:05:00,104,202,9.5,41,42.70
2023-01-20 22:10:00,106,207,12.3,58,53.20
